Segons nombre centres,,,,,,,,,,Segons nombre gasolineres,,,,
Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION,,,,,,Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION
85,100,simple,107868,8.68E-05,,,,,,100,85,simple,94868,9.97E-05
85,100,complex,123140,1.42E-04,,,,,,100,85,complex,106056,2.38E-05
86,100,empty,123044,0,,,,,,100,86,empty,107020,0
86,100,simple,107868,8.87E-05,,,,,,100,86,simple,95808,8.80E-05
86,100,complex,123148,1.65E-04,,,,,,100,86,complex,107072,1.82E-04
87,100,empty,123096,0,,,,,,100,87,empty,107956,0
87,100,simple,107868,8.90E-05,,,,,,100,87,simple,96736,8.77E-05
87,100,complex,123160,1.45E-04,,,,,,100,87,complex,108008,2.30E-05
88,100,empty,123104,0,,,,,,100,88,empty,108948,0
88,100,simple,107868,8.99E-05,,,,,,100,88,simple,95472,8.87E-05
88,100,complex,123168,1.47E-04,,,,,,100,88,complex,109000,1.20E-05
89,100,empty,123124,0,,,,,,100,89,empty,109912,0
89,100,simple,107888,9.83E-05,,,,,,100,89,simple,96032,8.88E-05
89,100,complex,123188,1.58E-04,,,,,,100,89,complex,109964,1.18E-05
90,100,empty,123152,0,,,,,,100,90,empty,110920,0
90,100,simple,107888,9.03E-05,,,,,,100,90,simple,97036,8.94E-05
90,100,complex,123216,1.50E-04,,,,,,100,90,complex,110972,1.24E-05
91,100,empty,123164,0,,,,,,100,91,empty,112880,0
91,100,simple,107888,9.19E-05,,,,,,100,91,simple,98968,9.69E-05
91,100,complex,123228,1.51E-04,,,,,,100,91,complex,112932,1.20E-05
92,100,empty,123244,0,,,,,,100,92,empty,113820,0
92,100,simple,108208,9.16E-05,,,,,,100,92,simple,99632,9.16E-05
92,100,complex,123252,1.56E-04,,,,,,100,92,complex,113872,1.23E-05
93,100,empty,123248,0,,,,,,100,93,empty,115752,0
93,100,simple,108208,9.18E-05,,,,,,100,93,simple,101520,9.39E-05
93,100,complex,123256,1.57E-04,,,,,,100,93,complex,115804,1.23E-05
94,100,empty,123260,0,,,,,,100,94,empty,117684,0
