Opcio,Steps,stiter,k,lamb,profits,execution time
1,5000,51,21,9.999999999999999E-5,77086,0.223
1,5000,51,21,0.001,81872,0.234
1,5000,101,1,1.0E-7,75938,0.22
1,5000,101,1,1.0E-6,84370,0.232
1,5000,101,1,9.999999999999999E-6,85664,0.214
1,5000,101,1,9.999999999999999E-5,82002,0.228
1,5000,101,1,0.001,84928,0.219
1,5000,101,11,1.0E-7,86486,0.226
1,5000,101,11,1.0E-6,83932,0.239
1,5000,101,11,9.999999999999999E-6,85886,0.224
1,5000,101,11,9.999999999999999E-5,87004,0.236
1,5000,101,11,0.001,80070,0.236
1,5000,101,21,1.0E-7,84958,0.229
1,5000,101,21,1.0E-6,74464,0.229
1,5000,101,21,9.999999999999999E-6,75428,0.224
1,5000,101,21,9.999999999999999E-5,84444,0.218
1,5000,101,21,0.001,82144,0.229
1,5000,151,1,1.0E-7,81928,0.223
1,5000,151,1,1.0E-6,86078,0.213
1,5000,151,1,9.999999999999999E-6,84086,0.218
1,5000,151,1,9.999999999999999E-5,86092,0.218
1,5000,151,1,0.001,83282,0.22
1,5000,151,11,1.0E-7,74368,0.214
1,5000,151,11,1.0E-6,79614,0.227
1,5000,151,11,9.999999999999999E-6,81220,0.219
1,5000,151,11,9.999999999999999E-5,84470,0.22
1,5000,151,11,0.001,81040,0.225
1,5000,151,21,1.0E-7,81576,0.217
1,5000,151,21,1.0E-6,78150,0.224
1,5000,151,21,9.999999999999999E-6,83890,0.216
1,5000,151,21,9.999999999999999E-5,75096,0.223
1,5000,151,21,0.001,84490,0.225
1,5000,201,1,1.0E-7,81808,0.226
1,5000,201,1,1.0E-6,78428,0.222
1,5000,201,1,9.999999999999999E-6,78974,0.217
1,5000,201,1,9.999999999999999E-5,86032,0.216
1,5000,201,1,0.001,75650,0.225
1,5000,201,11,1.0E-7,74782,0.208
1,5000,201,11,1.0E-6,84358,0.222
1,5000,201,11,9.999999999999999E-6,83640,0.22
1,5000,201,11,9.999999999999999E-5,83612,0.229
1,5000,201,11,0.001,85062,0.201
1,5000,201,21,1.0E-7,82758,0.227
1,5000,201,21,1.0E-6,76192,0.226
1,5000,201,21,9.999999999999999E-6,85330,0.218
1,5000,201,21,9.999999999999999E-5,84348,0.22
1,5000,201,21,0.001,85594,0.223
1,5000,251,1,1.0E-7,83216,0.219
1,5000,251,1,1.0E-6,82448,0.217
1,5000,251,1,9.999999999999999E-6,84352,0.222
1,5000,251,1,9.999999999999999E-5,85112,0.217
1,5000,251,1,0.001,81478,0.219
1,5000,251,11,1.0E-7,82606,0.218
1,5000,251,11,1.0E-6,80600,0.219
1,5000,251,11,9.999999999999999E-6,82870,0.228
1,5000,251,11,9.999999999999999E-5,82568,0.217
1,5000,251,11,0.001,85778,0.214
1,5000,251,21,1.0E-7,84382,0.222
1,5000,251,21,1.0E-6,76632,0.227
1,5000,251,21,9.999999999999999E-6,81680,0.218
1,5000,251,21,9.999999999999999E-5,82692,0.223
1,5000,251,21,0.001,85624,0.219
1,6000,1,1,1.0E-7,82824,0.28
1,6000,1,1,1.0E-6,83268,0.273
1,6000,1,1,9.999999999999999E-6,84666,0.258
1,6000,1,1,9.999999999999999E-5,82586,0.267
1,6000,1,1,0.001,83566,0.267
1,6000,1,11,1.0E-7,84518,0.253
1,6000,1,11,1.0E-6,80836,0.268
1,6000,1,11,9.999999999999999E-6,80638,0.257
1,6000,1,11,9.999999999999999E-5,80494,0.256
1,6000,1,11,0.001,82236,0.25
1,6000,1,21,1.0E-7,80660,0.27
1,6000,1,21,1.0E-6,83236,0.257
1,6000,1,21,9.999999999999999E-6,79188,0.259
1,6000,1,21,9.999999999999999E-5,75186,0.26
1,6000,1,21,0.001,61612,0.261
1,6000,51,1,1.0E-7,84926,0.268
1,6000,51,1,1.0E-6,88138,0.273
1,6000,51,1,9.999999999999999E-6,79020,0.272
1,6000,51,1,9.999999999999999E-5,77554,0.278
1,6000,51,1,0.001,81954,0.276
1,6000,51,11,1.0E-7,84114,0.275
1,6000,51,11,1.0E-6,81368,0.278
1,6000,51,11,9.999999999999999E-6,81586,0.265
1,6000,51,11,9.999999999999999E-5,87070,0.268
1,6000,51,11,0.001,85108,0.269
1,6000,51,21,1.0E-7,85756,0.268
1,6000,51,21,1.0E-6,85958,0.268
1,6000,51,21,9.999999999999999E-6,81086,0.251
1,6000,51,21,9.999999999999999E-5,85102,0.274
1,6000,51,21,0.001,79090,0.263
1,6000,101,1,1.0E-7,81508,0.261
1,6000,101,1,1.0E-6,87146,0.253
1,6000,101,1,9.999999999999999E-6,83848,0.272
1,6000,101,1,9.999999999999999E-5,77732,0.281
1,6000,101,1,0.001,80906,0.278
1,6000,101,11,1.0E-7,84488,0.259
1,6000,101,11,1.0E-6,80322,0.262
1,6000,101,11,9.999999999999999E-6,81384,0.259
1,6000,101,11,9.999999999999999E-5,83060,0.265
1,6000,101,11,0.001,83160,0.26
1,6000,101,21,1.0E-7,77748,0.248
1,6000,101,21,1.0E-6,84822,0.281
1,6000,101,21,9.999999999999999E-6,80390,0.259
1,6000,101,21,9.999999999999999E-5,84892,0.263
1,6000,101,21,0.001,84320,0.26
1,6000,151,1,1.0E-7,84532,0.265
1,6000,151,1,1.0E-6,84774,0.262
1,6000,151,1,9.999999999999999E-6,80056,0.259
1,6000,151,1,9.999999999999999E-5,78894,0.278
1,6000,151,1,0.001,85858,0.266
1,6000,151,11,1.0E-7,81314,0.271
1,6000,151,11,1.0E-6,81984,0.265
1,6000,151,11,9.999999999999999E-6,79340,0.259
1,6000,151,11,9.999999999999999E-5,84376,0.264
1,6000,151,11,0.001,81582,0.26
1,6000,151,21,1.0E-7,65380,0.268
1,6000,151,21,1.0E-6,82932,0.256
1,6000,151,21,9.999999999999999E-6,81058,0.284
1,6000,151,21,9.999999999999999E-5,82090,0.264
1,6000,151,21,0.001,79524,0.265
1,6000,201,1,1.0E-7,84334,0.27
1,6000,201,1,1.0E-6,82124,0.276
1,6000,201,1,9.999999999999999E-6,85890,0.264
