Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION
100,72,simple,89882,6.28E-5
100,72,complex,94300,2.19E-5
100,73,empty,96292,0.0
100,73,simple,91340,1.286E-4
100,73,complex,96300,2.21E-5
100,74,empty,97312,0.0
100,74,simple,92360,1.693E-4
100,74,complex,97320,2.2E-5
100,75,empty,98288,0.0
100,75,simple,92384,1.066E-4
100,75,complex,98296,2.13E-5
100,76,empty,98288,0.0
100,76,simple,92384,6.83E-5
100,76,complex,98296,2.25E-5
100,77,empty,99304,0.0
100,77,simple,93388,6.54E-5
100,77,complex,99304,8.19E-5
100,78,empty,100320,0.0
100,78,simple,95002,8.24E-5
100,78,complex,100320,2.19E-5
100,79,empty,101276,0.0
100,79,simple,95958,1.375E-4
100,79,complex,101276,2.19E-5
100,80,empty,102244,0.0
100,80,simple,96910,6.92E-5
100,80,complex,102244,2.26E-5
100,81,empty,102244,0.0
100,81,simple,96910,8.68E-5
100,81,complex,102244,2.16E-5
100,82,empty,104160,0.0
100,82,simple,98390,6.95E-5
100,82,complex,104160,2.29E-5
100,83,empty,105154,0.0
100,83,simple,99822,1.395E-4
100,83,complex,105154,2.29E-5
100,84,empty,106170,0.0
100,84,simple,100318,7.05E-5
100,84,complex,106170,2.26E-5
100,85,empty,107150,0.0
100,85,simple,101936,1.204E-4
100,85,complex,107150,2.15E-5
100,86,empty,108170,0.0
100,86,simple,102202,1.042E-4
100,86,complex,108170,2.236E-4
100,87,empty,109122,0.0
100,87,simple,103452,7.48E-5
100,87,complex,109122,3.12E-5
100,88,empty,110134,0.0
100,88,simple,102986,8.57E-5
100,88,complex,110134,1.02E-5
100,89,empty,111110,0.0
100,89,simple,104652,9.13E-5
100,89,complex,111110,9.9E-6
100,90,empty,112130,0.0
100,90,simple,105692,8.72E-5
100,90,complex,112130,1.01E-5
100,91,empty,114110,0.0
100,91,simple,106950,9.03E-5
100,91,complex,114110,2.45E-5
100,92,empty,115086,0.0
100,92,simple,107802,8.96E-5
100,92,complex,115086,9.9E-6
100,93,empty,117062,0.0
100,93,simple,110282,9.25E-5
100,93,complex,117058,1.0E-5
100,94,empty,119058,0.0
100,94,simple,112138,9.03E-5
100,94,complex,119054,2.75E-5
100,95,empty,119974,0.0
100,95,simple,112472,9.34E-5
100,95,complex,119970,1.12E-5
100,96,empty,120934,0.0
100,96,simple,113664,9.16E-5
100,96,complex,120930,1.14E-5
100,97,empty,121938,0.0
100,97,simple,114660,8.14E-5
100,97,complex,121940,1.15E-5
100,98,empty,122910,0.0
100,98,simple,115436,9.8E-5
100,98,complex,122912,1.12E-5
100,99,empty,123858,0.0
100,99,simple,116700,9.89E-5
100,99,complex,123860,1.11E-5
100,100,empty,124878,0.0
100,100,simple,117486,9.43E-5
100,100,complex,124880,1.16E-5
